行政區,地址,樓層,型態,主要用途,房間,客廳,衛浴,有無傢俱,租金,車位類別,備註,出租型態,有無管理員,有無電梯,附屬設備
西屯區,臺中市西屯區逢甲路３０１巷２２弄３４號３樓,三層,住宅大樓(11層含以上有電梯),住家用,3,2,2,無,16250,,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。管理費3250元由出租人負擔。,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
西屯區,臺中市西屯區至善路１０１巷１６號四樓之３,四層,住宅大樓(11層含以上有電梯),住家用,1,0,1,有,6700,,社會住宅包租代管公會版4期908-1租金總額含網路費；續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路
西屯區,臺中市西屯區順平路２１８號,全,透天厝,店鋪、住宅、機械室、樓梯間、水塔室,67,67,67,有,16000,,租金總額含水費；網路費；含增建或未登記建物；,分租套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路
南屯區,臺中市南屯區大墩路５００號１４樓,十四層,住宅大樓(11層含以上有電梯),住家用,3,1,2,有,18000,,房屋租金18000/月，管理費3000/月續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、瓦斯或天然氣
西屯區,臺中市西屯區國安二路１７９號四樓之８,四層,住宅大樓(11層含以上有電梯),集合住宅,1,1,1,無,24000,坡道機械,租金總額含管理費；,獨立套房,有,有,
西屯區,臺中市西屯區永福路１２６號十三樓之２,十三層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,11500,,,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
豐原區,臺中市豐原區愛國街２０２巷１３號３樓,三層,公寓(5樓含以下無電梯),住家用,3,2,2,有,17000,,租金總額含管理費；,整棟(戶)出租,有,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣
后里區,臺中市后里區甲后路二段５６２號四樓之１,四層,公寓(5樓含以下無電梯),住家用,1,0,1,有,8500,,,獨立套房,無,無,冷氣、熱水器、洗衣機、冰箱
大甲區,臺中市大甲區光明路１０巷５號８樓之６,八層,住宅大樓(11層含以上有電梯),集合住宅,1,1,1,有,15000,,多人共同承租2；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
清水區,臺中市清水區大勇路１２８號８樓之２,八層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,16000,坡道平面,,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機
