行政區,地址,樓層,型態,主要用途,房間,客廳,衛浴,有無傢俱,租金,車位類別,備註,出租型態,有無管理員,有無電梯,附屬設備
西屯區,臺中市西屯區市政路３８６號１４樓之７，１４樓之８,十四層,辦公商業大樓,辦公室,0,0,0,有,175000,坡道平面,租金總額含稅；,,有,有,
西屯區,臺中市西屯區寧夏西四街７號八樓之１５,八層,華廈(10層含以下有電梯),辦公室,1,0,1,有,9500,,社會住宅包租代管公會版4期77-2租金總額含網路費；其他第四台；續租案件；,獨立套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路
豐原區,臺中市豐原區中興路９３號四樓,四層,公寓(5樓含以下無電梯),集合住宅,1,0,1,有,12000,,,獨立套房,無,無,冷氣、熱水器
豐原區,臺中市豐原區西安街９１巷３號三樓,三層,公寓(5樓含以下無電梯),住家用,2,2,2,有,12000,,,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
豐原區,福興段1123-7地號,,其他,,0,0,0,無,79645,,門牌地址：台中市豐原區豐原大道六段326號，做廠房使用。建物未保存登記。附屬設備：冷氣二台租金總額含稅；含增建或未登記建物；,,,,
梧棲區,臺中市梧棲區八德路８５號十樓之７,十層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,16000,,多人共同承租2；未租賃車位，建物登記含有車位面積；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
清水區,臺中市清水區港都路１６３號十五樓之３,十五層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,14000,,社會住宅包租代管公會版41期807,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
清水區,臺中市清水區港新三路３５號十三樓之２,十三層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,28500,坡道平面,租金總額含管理費；其他含2.11%二代健保補充費及10%租賃稅金；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
潭子區,臺中市潭子區中山路一段７巷１０號４樓之２,四層,住宅大樓(11層含以上有電梯),住家用,1,0,1,有,6130,,國家住宅及都市更新中心辦理社會住宅包租代管計畫。管理費370元由出租人負擔續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
太平區,臺中市太平區宜安街３２號,一層,華廈(10層含以下有電梯),集合住宅,4,2,2,有,16310,,國家住宅及都市更新中心辦理社會住宅包租代管計畫。管理費1190元由出租人負擔續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、冰箱、瓦斯或天然氣
太平區,臺中市太平區新福路４８號１０樓,十層,住宅大樓(11層含以上有電梯),集合住宅、國民住宅,3,2,2,無,23000,坡道機械,,整棟(戶)出租,有,有,熱水器、瓦斯或天然氣
龍井區,臺中市龍井區新興路５９巷３０號四樓之三,四層,華廈(10層含以下有電梯),住家用,3,2,2,有,15000,,國家住宅及都市更新中心辦理社會住宅包租代管計畫。續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
